                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.50068,                0.33827,                 1.0518,                0.86122,                0.77486,                0.86819,                0.71755,                0.74349,                0.74788,                 1.1567,              4.654e-05,              4.654e-05,              4.654e-05
                    110,                0.50826,                0.33427,                 1.0439,                0.86863,                0.77808,                0.86464,                 0.7105,                0.74503,                0.77635,                 1.1559,             4.6045e-05,             4.6045e-05,             4.6045e-05
                    111,                0.50963,                0.34009,                 1.0652,                0.89961,                0.76532,                0.86568,                0.71062,                0.74164,                0.77327,                 1.1545,              4.555e-05,              4.555e-05,              4.555e-05
                    112,                0.49977,                0.33067,                 1.0484,                 0.8915,                0.76336,                0.86282,                0.71169,                0.74261,                 0.7772,                  1.156,             4.5055e-05,             4.5055e-05,             4.5055e-05
                    113,                0.50374,                0.32978,                 1.0471,                0.88743,                0.75873,                0.86543,                0.71416,                0.74155,                0.77744,                 1.1527,              4.456e-05,              4.456e-05,              4.456e-05
                    114,                0.50899,                0.34458,                 1.0606,                0.87877,                0.76296,                0.86208,                0.71183,                0.74348,                0.77619,                 1.1541,             4.4065e-05,             4.4065e-05,             4.4065e-05
                    115,                0.51079,                0.32931,                 1.0493,                0.84513,                0.78204,                0.85919,                 0.7094,                0.74502,                0.78779,                 1.1574,              4.357e-05,              4.357e-05,              4.357e-05
                    116,                0.50169,                0.34378,                 1.0498,                0.85116,                0.77655,                  0.869,                0.71534,                0.73852,                0.75477,                 1.1487,             4.3075e-05,             4.3075e-05,             4.3075e-05
                    117,                 0.5051,                0.34476,                 1.0516,                0.85479,                0.79076,                0.86764,                0.71501,                0.74315,                0.76229,                 1.1519,              4.258e-05,              4.258e-05,              4.258e-05
                    118,                0.48534,                0.32825,                  1.049,                0.87826,                0.77823,                0.86516,                0.71615,                0.74288,                0.76554,                 1.1549,             4.2085e-05,             4.2085e-05,             4.2085e-05
                    119,                0.50971,                0.34537,                 1.0526,                0.87862,                0.77823,                0.86739,                0.71759,                0.73921,                0.76901,                 1.1509,              4.159e-05,              4.159e-05,              4.159e-05
                    120,                0.49916,                0.33807,                  1.047,                0.88324,                   0.77,                0.86299,                0.70758,                0.74112,                0.76745,                  1.155,             4.1095e-05,             4.1095e-05,             4.1095e-05
                    121,                0.50937,                0.33071,                 1.0456,                0.86583,                0.79196,                0.86667,                0.71489,                 0.7369,                0.75393,                 1.1503,               4.06e-05,               4.06e-05,               4.06e-05
                    122,                  0.511,                0.34589,                 1.0566,                0.91026,                0.75702,                0.86516,                0.71651,                0.73402,                0.75022,                 1.1527,             4.0105e-05,             4.0105e-05,             4.0105e-05
                    123,                0.51694,                0.34198,                 1.0643,                0.90366,                0.77017,                0.87043,                0.71737,                0.73459,                0.75311,                 1.1527,              3.961e-05,              3.961e-05,              3.961e-05
                    124,                0.50771,                0.33161,                 1.0414,                 0.8863,                0.77133,                0.86893,                0.71601,                0.73249,                 0.7557,                 1.1504,             3.9115e-05,             3.9115e-05,             3.9115e-05
                    125,                0.50535,                0.33119,                 1.0528,                0.88253,                0.78325,                0.86834,                0.71499,                0.73776,                0.74448,                 1.1539,              3.862e-05,              3.862e-05,              3.862e-05
                    126,                0.48141,                0.32601,                 1.0457,                0.88955,                0.77693,                0.87228,                0.71738,                0.73646,                0.74092,                 1.1516,             3.8125e-05,             3.8125e-05,             3.8125e-05
                    127,                0.50408,                0.33643,                 1.0564,                0.87541,                0.78764,                0.87316,                0.72236,                0.73066,                0.73985,                 1.1491,              3.763e-05,              3.763e-05,              3.763e-05
                    128,                 0.5021,                0.33745,                 1.0533,                0.87163,                0.78832,                0.87139,                0.71982,                0.73104,                0.74678,                 1.1527,             3.7135e-05,             3.7135e-05,             3.7135e-05
                    129,                 0.4857,                0.32981,                 1.0429,                0.89809,                0.78253,                0.87034,                0.71632,                0.73297,                0.75171,                 1.1541,              3.664e-05,              3.664e-05,              3.664e-05
                    130,                0.50262,                0.32992,                 1.0568,                 0.8865,                0.78097,                0.86953,                0.71661,                0.73427,                0.75836,                  1.155,             3.6145e-05,             3.6145e-05,             3.6145e-05
                    131,                0.47799,                0.31658,                 1.0259,                0.86622,                0.78619,                0.86769,                0.71789,                0.73351,                0.76004,                 1.1564,              3.565e-05,              3.565e-05,              3.565e-05
                    132,                0.47993,                0.33279,                 1.0393,                0.86858,                0.79258,                0.86664,                0.71448,                0.73362,                0.76884,                 1.1538,             3.5155e-05,             3.5155e-05,             3.5155e-05
                    133,                0.50615,                0.33183,                 1.0472,                0.86643,                0.79533,                0.86922,                0.71752,                0.73357,                0.75196,                 1.1503,              3.466e-05,              3.466e-05,              3.466e-05
                    134,                0.48555,                0.32692,                 1.0368,                0.86562,                0.79076,                0.86112,                0.71041,                0.73582,                0.76508,                 1.1541,             3.4165e-05,             3.4165e-05,             3.4165e-05
                    135,                0.49252,                 0.3239,                 1.0374,                0.87804,                0.77301,                0.86356,                0.71335,                0.73819,                0.77611,                 1.1565,              3.367e-05,              3.367e-05,              3.367e-05
                    136,                 0.5016,                0.32487,                 1.0549,                0.87816,                0.78609,                0.86766,                0.71479,                 0.7371,                0.75849,                 1.1506,             3.3175e-05,             3.3175e-05,             3.3175e-05
                    137,                0.48293,                0.33026,                 1.0533,                0.91244,                0.76012,                0.86564,                0.71372,                0.73798,                0.77042,                 1.1527,              3.268e-05,              3.268e-05,              3.268e-05
                    138,                0.49307,                0.33169,                 1.0507,                 0.8739,                0.79167,                0.86568,                0.71381,                0.73794,                0.76631,                 1.1522,             3.2185e-05,             3.2185e-05,             3.2185e-05
