                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.55856,                 0.3594,                 1.0061,                0.96417,                0.96183,                0.99015,                0.88662,                0.52723,                0.29409,                0.90611,              6.139e-05,              6.139e-05,              6.139e-05
                     80,                0.55755,                0.34419,                 1.0094,                0.95819,                0.96211,                0.98662,                0.88648,                0.52163,                0.29724,                0.90449,             6.0895e-05,             6.0895e-05,             6.0895e-05
                     81,                0.57091,                0.35507,                 1.0106,                0.95205,                0.96211,                0.98729,                0.88972,                0.52149,                0.29587,                 0.9018,               6.04e-05,               6.04e-05,               6.04e-05
                     82,                0.55234,                0.36832,                 1.0054,                0.96362,                0.95776,                0.98869,                0.88915,                0.52651,                 0.2926,                0.90528,             5.9905e-05,             5.9905e-05,             5.9905e-05
                     83,                0.56477,                0.35238,                 1.0097,                0.94856,                0.96211,                0.98874,                0.88924,                0.52666,                0.30038,                0.90432,              5.941e-05,              5.941e-05,              5.941e-05
                     84,                 0.5631,                0.35734,                 1.0108,                0.96323,                0.96211,                0.98856,                0.88984,                0.52699,                0.29086,                0.90511,             5.8915e-05,             5.8915e-05,             5.8915e-05
                     85,                0.55561,                0.35096,                 1.0078,                0.96214,                0.96878,                 0.9898,                0.89112,                0.52715,                0.28937,                0.90678,              5.842e-05,              5.842e-05,              5.842e-05
                     86,                0.54474,                0.34607,                 1.0124,                0.97066,                0.96587,                0.99118,                0.89131,                0.52758,                0.28501,                0.90751,             5.7925e-05,             5.7925e-05,             5.7925e-05
                     87,                0.56208,                0.35232,                 1.0102,                0.96497,                0.95441,                0.99015,                0.89247,                0.53173,                0.29507,                0.91125,              5.743e-05,              5.743e-05,              5.743e-05
                     88,                0.53908,                0.32809,                 1.0065,                 0.9684,                0.96587,                0.98991,                0.89204,                0.52878,                0.28679,                0.90788,             5.6935e-05,             5.6935e-05,             5.6935e-05
                     89,                0.56446,                0.34979,                 1.0141,                0.95902,                0.97422,                0.99161,                0.88974,                0.53053,                 0.2814,                0.90816,              5.644e-05,              5.644e-05,              5.644e-05
